lmfdb_index|coeffs|monogenic
1|1,-8,-9,0|1
1|220,0,-30,0|-1
1|2,-1,-8,-1|1
1|209,17,-30,-1|-1
1|8,7,-8,-1|1
1|4,-6,-10,0|-1
1|12,10,-13,-1|-1
1|4,5,-7,-1|1
1|5,-4,-8,0|1
1|-3,-14,-11,0|1
1|3,5,-7,-1|1
1|7,-3,-8,0|1
1|3,3,-7,-1|1
1|-2,-11,-14,0|1
1|12,0,-10,-1|-1
1|82,20,-19,-2|-1
1|15,-1,-9,0|1
1|2,-4,-8,0|1
1|4,6,-8,-2|1
1|209,28,-32,-1|-1
1|-1,-11,-10,0|1
1|4,6,-9,-1|-1
1|16,3,-9,-1|1
1|5,-2,-13,-2|-1
1|1,4,-7,-2|1
1|7,-9,-14,-1|-1
1|9,15,-14,-2|1
2|-5,25,-13,-1|1
1|33,-6,-20,-2|-1
1|-1,-9,-10,0|1
1|9,1,-8,-1|1
1|211,31,-33,-1|-1
1|29,18,-17,-2|-1
1|4,5,-6,-2|1
1|1,2,-8,-2|1
1|4,-2,-10,-1|-1
2|-14,28,-13,-1|1
1|2,-3,-11,-1|-1
1|220,30,-29,-2|-1
1|5,7,-13,-1|1
1|-2,10,-10,-2|1
1|5,4,-7,-1|1
1|5,7,-6,-2|1
1|5,9,-15,-1|1
1|5,3,-7,-1|1
1|9,-12,-13,0|-1
1|17,-3,-10,0|1
1|220,10,-31,-1|-1
1|40,0,-16,0|1
2|10,0,-8,0|1
1|3,5,-6,-2|1
1|81,0,-20,0|-1
1|-2,-11,-13,-1|1
1|9,8,-8,-2|1
1|3,12,-11,-1|-1
1|79,14,-19,-2|-1
1|3,-12,-11,0|1
1|196,0,-33,0|-1
1|8,6,-9,-1|1
1|3,-1,-12,0|1
1|34,-2,-13,0|-1
1|12,-3,-9,0|1
1|82,8,-21,-2|-1
1|25,-30,-23,0|-1
2|37,14,-13,-2|-1
1|7,0,-12,0|-1
1|13,1,-9,-1|1
1|13,-5,-10,0|1
1|236,0,-32,0|-1
1|4,-7,-9,0|1
1|82,-12,-22,0|1
1|4,-4,-13,0|1
1|225,15,-31,-1|-1
1|-2,-14,-11,0|1
1|229,31,-30,-2|-1
1|1,0,-9,0|1
1|27,-11,-15,0|1
1|3,14,-14,-2|1
1|7,-10,-13,0|1
1|15,-4,-10,0|1
1|229,8,-32,-1|-1
1|239,0,-31,0|1
1|7,2,-13,-1|1
1|7,17,-12,-1|-1
1|22,0,-11,0|-1
1|2,-3,-8,0|1
1|83,0,-20,0|-1
1|4,-18,-15,0|-1
1|2,6,-6,-2|1
1|-1,8,-10,-1|1
1|27,-1,-14,-1|-1
1|94,0,-24,0|-1
1|30,-2,-12,0|1
1|241,0,-33,0|-1
1|1,-1,-9,0|1
1|17,3,-11,-1|-1
1|34,-3,-13,0|1
1|2,0,-8,-2|1
1|6,3,-7,-2|1
1|81,18,-19,-2|-1
2|89,22,-21,-2|-1
