lmfdb_index|coeffs|monogenic
1|4,20,4,-9,-1|0
1|-10,3,14,-7,-2|1
1|-3,6,5,-6,-2|1
1|-7,8,8,-6,-2|1
1|14,22,-1,-10,-1|1
1|-6,14,-1,-9,0|1
1|4,15,-2,-9,0|0
1|1,12,4,-8,-1|0
1|-4,6,11,-9,-1|0
1|4,15,6,-7,-2|1
1|-2,10,7,-6,-2|1
1|3,9,2,-8,-1|1
1|-7,10,6,-7,-1|1
1|-9,8,10,-6,-2|1
1|-1,3,4,-7,-1|1
1|-7,17,-2,-10,0|1
1|-4,6,10,-7,-2|0
1|-1,10,0,-7,0|1
1|2,5,-3,-11,-2|1
1|3,13,-2,-10,-1|0
1|-1,3,8,-7,-1|1
1|1,16,4,-8,-1|1
1|-3,9,1,-8,-1|1
1|1,8,5,-7,-1|1
1|-4,4,9,-6,-2|0
1|-7,9,6,-7,-1|1
1|-23,23,9,-10,-1|1
1|1,10,9,-7,-2|0
1|-7,8,7,-7,-1|1
1|1,19,8,-8,-2|1
1|-14,8,15,-9,-2|1
1|-3,4,7,-5,-2|1
1|-18,12,14,-8,-2|0
1|4,10,-3,-8,0|-1
1|-2,14,6,-8,-2|1
1|-5,0,13,-6,-2|1
1|-23,18,13,-9,-2|1
1|-2,-3,20,-10,-2|0
1|-15,18,7,-9,-1|1
1|-16,9,13,-7,-2|1
1|-9,13,13,-8,-2|0
1|-1,6,-4,-10,-1|1
1|2,-13,23,-9,-2|1
1|1,8,-2,-7,0|1
1|-5,4,11,-9,-1|0
1|5,18,4,-9,-1|0
1|4,12,-1,-8,0|0
1|-8,10,7,-8,-1|0
1|11,23,3,-10,-1|0
1|-2,2,8,-5,-2|1
1|5,12,-5,-9,0|0
1|-1,9,4,-7,-2|1
1|1,5,-3,-7,0|1
1|-1,6,-1,-7,0|1
1|-2,5,3,-7,-1|1
1|1,-9,19,-8,-2|1
1|3,15,9,-8,-2|0
1|2,7,2,-8,-2|1
1|-4,16,11,-8,-2|0
1|-13,15,12,-10,-1|0
1|6,16,2,-8,-1|1
1|-1,4,10,-8,-1|1
1|-1,9,-3,-8,0|1
1|-10,11,9,-7,-2|1
1|-4,6,9,-6,-2|-1
1|4,14,4,-8,-2|0
1|2,6,-3,-7,0|1
1|-1,8,5,-6,-2|1
1|1,4,-6,-8,0|1
1|-1,16,7,-10,-1|0
1|5,15,-2,-10,-1|0
1|-13,8,13,-9,-1|1
1|-9,9,11,-7,-2|0
1|-5,11,7,-7,-2|1
1|-6,9,5,-7,-1|1
1|1,6,5,-8,-1|1
1|4,10,-2,-8,0|0
1|1,7,4,-6,-2|1
1|-18,17,9,-9,-1|1
1|10,20,1,-9,-1|1
1|-3,3,8,-5,-2|1
1|-4,4,9,-8,-1|0
1|1,2,-9,-9,0|1
1|-2,6,3,-7,-2|1
1|-7,7,8,-6,-2|1
1|4,9,-1,-9,-1|1
1|8,13,-3,-8,0|1
1|-6,12,10,-7,-2|0
1|-8,13,5,-9,-1|0
1|-2,10,1,-8,-1|1
1|-5,8,7,-6,-2|1
1|1,4,-2,-8,-1|1
1|-1,3,8,-8,-2|0
1|2,-14,26,-12,-1|1
1|-2,6,2,-7,-1|1
1|-15,7,16,-10,-1|1
1|1,9,6,-8,-1|0
1|-2,3,7,-5,-2|1
1|-4,7,6,-6,-2|1
1|4,16,10,-11,-2|0
1|-1,6,-1,-8,-1|1
1|-3,1,12,-8,-1|1
1|-11,14,13,-8,-2|1
1|7,15,-1,-9,-1|1
1|-4,0,14,-9,-1|0
1|-1,-3,13,-6,-2|1
1|-2,28,12,-10,-2|1
1|3,9,-1,-7,0|1
1|-12,10,11,-7,-2|0
1|3,13,5,-8,-1|1
1|-5,10,7,-7,-2|0
1|-4,9,2,-8,-1|1
1|-2,3,6,-8,-1|1
1|-3,8,6,-6,-2|1
1|1,3,-4,-8,0|1
1|-4,7,9,-8,-1|-1
1|1,14,-1,-8,0|1
1|1,7,7,-8,-1|1
1|-1,2,11,-6,-2|1
1|-14,22,11,-11,-1|0
1|1,9,7,-9,-2|0
1|1,-11,21,-8,-2|1
1|3,11,5,-8,-1|1
1|-23,10,19,-9,-2|0
1|3,7,-9,-10,0|0
1|1,-13,22,-8,-2|1
1|-2,7,-1,-8,0|1
1|11,14,-11,-12,0|0
1|-2,9,0,-7,0|1
1|-3,5,9,-6,-2|0
1|-2,7,-1,-10,0|1
1|-1,0,13,-7,-2|0
1|-2,13,12,-8,-2|1
1|3,8,-2,-7,0|1
1|2,5,-5,-9,-1|1
1|-1,-1,12,-8,-1|1
1|-27,16,16,-9,-2|1
1|-2,9,12,-9,-2|0
1|5,16,6,-11,-1|0
1|11,19,-3,-9,0|1
1|1,5,-1,-7,0|1
1|1,3,-6,-8,0|1
1|-1,6,-3,-8,0|1
1|13,18,-4,-9,0|1
1|-25,21,21,-12,-2|0
1|-1,9,2,-7,-1|1
1|2,9,1,-7,-1|1
1|-5,5,8,-7,-1|1
1|-1,7,-6,-11,-1|1
1|4,12,2,-10,-2|0
1|-1,15,5,-8,-1|1
1|-4,10,3,-8,-1|0
1|-8,8,9,-7,-2|0
1|-8,23,7,-10,-1|-1
1|-13,8,12,-7,-2|1
1|-15,7,14,-7,-2|1
1|3,16,3,-8,-1|1
1|8,12,-5,-9,0|0
1|-19,17,10,-9,-1|1
1|2,11,4,-7,-2|1
1|7,18,5,-8,-2|1
1|-1,9,16,-9,-2|1
1|6,16,6,-8,-2|1
1|6,20,3,-9,-1|0
1|-2,25,5,-11,-1|0
1|18,30,1,-11,-1|0
1|1,6,3,-7,-1|1
1|1,0,-12,-10,0|1
1|5,14,-2,-8,0|1
1|1,7,9,-10,-1|1
1|-3,-3,16,-9,-1|1
1|3,12,6,-9,-1|0
1|-2,-2,18,-8,-2|1
1|-2,8,2,-7,-1|1
1|1,4,-5,-9,-1|1
1|3,14,0,-9,-1|0
1|-9,13,10,-7,-2|1
1|-9,21,-3,-12,0|0
1|11,26,7,-9,-2|1
1|-35,22,17,-10,-2|1
1|-1,11,15,-9,-2|0
1|-4,14,5,-8,-1|0
1|-1,-2,11,-6,-2|1
1|-1,1,14,-7,-2|1
1|-2,6,2,-8,-2|1
1|-6,8,7,-7,-1|1
1|10,21,-2,-10,0|0
1|5,16,3,-8,-1|1
1|-4,-2,15,-7,-2|0
1|-23,15,14,-8,-2|1
1|7,11,-4,-8,0|1
1|2,11,9,-7,-2|1
1|-2,5,3,-9,-1|1
1|1,1,-9,-9,0|1
1|2,8,4,-7,-2|1
1|4,8,-6,-10,0|0
1|-2,9,11,-7,-2|1
1|2,15,7,-7,-2|1
1|9,16,-1,-9,-1|1
1|6,22,15,-11,-2|1
1|-9,1,15,-7,-2|1
1|-3,8,9,-6,-2|1
1|-2,4,5,-9,-2|1
1|-4,8,6,-7,-2|0
1|2,8,-6,-9,0|0
1|1,12,8,-9,-1|0
1|-1,11,10,-7,-2|1
1|1,8,7,-6,-2|1
1|-1,6,1,-7,-1|1
1|-3,13,3,-8,-1|1
1|3,13,1,-8,-1|1
1|-7,3,12,-6,-2|1
1|16,22,-4,-10,0|0
1|-11,11,9,-8,-1|1
1|-1,9,-5,-9,0|1
1|-1,7,-1,-7,0|1
1|1,8,10,-7,-2|1
1|-11,12,10,-7,-2|1
1|1,7,5,-6,-2|1
1|-2,18,0,-9,0|0
1|-2,7,5,-6,-2|1
1|-2,28,0,-11,0|0
1|-8,15,6,-8,-1|1
1|1,9,7,-6,-2|1
1|3,13,8,-7,-2|1
1|1,-10,25,-10,-2|1
1|-7,9,7,-7,-2|1
1|-2,2,8,-7,-1|1
1|3,8,0,-8,-1|1
1|8,19,2,-10,-2|1
1|11,18,-2,-9,0|1
1|3,9,2,-9,-2|1
1|-32,25,17,-10,-2|1
1|-8,12,20,-11,-2|0
1|-6,7,7,-7,-1|1
1|-5,7,9,-9,-1|0
1|2,8,-2,-7,0|1
1|-7,10,11,-10,-1|0
1|3,13,5,-7,-2|1
1|4,13,6,-7,-2|1
1|-6,13,5,-8,-1|0
1|-13,11,12,-7,-2|1
1|6,21,11,-13,-1|0
1|-1,11,4,-7,-1|1
1|2,9,-1,-8,-1|1
1|-7,5,11,-8,-1|1
1|3,7,-6,-10,-1|1
1|-6,20,6,-9,-1|1
1|-11,13,8,-8,-1|1
1|-6,10,5,-9,-2|1
1|-2,-3,13,-6,-2|1
1|-1,-1,10,-6,-2|1
1|14,23,-2,-11,0|0
1|3,5,-6,-8,0|1
1|-1,7,5,-9,-1|-1
1|-3,9,3,-7,-1|1
1|-23,20,15,-9,-2|1
1|-2,-2,13,-6,-2|1
1|-3,7,12,-7,-2|1
1|1,5,-9,-10,0|0
1|-9,20,10,-9,-2|1
1|4,16,11,-9,-2|0
1|-4,8,4,-9,-1|0
1|1,10,2,-7,-1|1
1|-10,14,6,-8,-1|1
1|7,14,-2,-8,0|1
1|-1,8,10,-9,-2|0
1|-3,3,11,-7,-2|0
1|-9,27,12,-10,-2|0
1|-19,20,13,-9,-2|0
1|-9,9,15,-9,-2|0
1|9,24,8,-12,-1|0
1|7,17,4,-9,-1|1
1|7,13,-3,-8,0|1
1|2,10,7,-9,-2|0
1|1,11,3,-7,-1|1
1|-4,20,-2,-11,0|0
1|-1,11,-2,-8,0|1
1|-4,4,18,-9,-2|-1
1|-11,16,13,-9,-2|0
1|-7,15,6,-8,-1|1
1|-1,9,8,-6,-2|1
1|1,-10,22,-11,-1|1
1|-4,14,13,-11,-1|0
1|2,8,2,-7,-1|1
1|-1,-6,17,-7,-2|1
1|-8,12,9,-9,-1|0
1|-1,4,3,-7,-1|1
1|7,19,4,-9,-2|1
1|3,7,-2,-8,0|1
1|-8,12,7,-8,-1|0
1|-3,3,8,-7,-1|1
1|3,14,4,-8,-2|1
1|-2,4,8,-9,-1|0
1|-2,13,0,-9,0|0
1|-15,12,11,-9,-1|1
1|-12,4,17,-9,-2|0
1|6,18,7,-11,-1|0
1|-1,-1,16,-10,-1|0
1|-7,13,6,-8,-1|0
1|5,14,1,-8,-1|1
1|-1,5,8,-8,-1|0
1|3,11,6,-7,-2|1
1|2,18,7,-8,-2|1
1|1,-1,-15,-13,-1|1
1|-1,11,3,-10,-1|0
1|7,19,-2,-9,0|1
1|2,6,-1,-8,-1|1
1|-4,14,7,-8,-2|-1
